                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2201,                 5.4718,                 2.0932,                0.53382,                0.40588,                0.42928,                0.20107,                  1.933,                 1.8591,                 2.1198,                 0.0705,              0.0032778,              0.0032778
                      1,                 1.7944,                 1.9005,                 1.6224,                 0.5488,                0.48235,                0.47851,                 0.2172,                 1.9923,                 1.9461,                  1.883,               0.040238,              0.0063493,              0.0063493
                      2,                 1.7056,                 1.5929,                 1.5154,                0.60644,                0.37647,                 0.4373,                0.17441,                 2.2087,                 1.8422,                 2.1491,              0.0097124,              0.0091568,              0.0091568
                      3,                 1.7397,                 1.5609,                 1.5514,                0.43852,                0.25882,                0.21268,                0.07329,                 2.7299,                  2.423,                 2.8488,               0.008812,               0.008812,               0.008812
                      4,                 1.7854,                 1.6183,                 1.6229,                0.24202,                0.44118,                 0.2388,                0.08092,                 2.3209,                 2.2113,                 2.3575,               0.008812,               0.008812,               0.008812
                      5,                 1.8213,                 1.6034,                 1.6084,                0.46689,                0.19412,                0.21358,                0.08507,                 2.3731,                 3.2974,                 2.3066,               0.008416,               0.008416,               0.008416
                      6,                 1.7638,                 1.5632,                 1.6384,                0.71346,                0.24118,                0.34149,                0.16579,                 2.0882,                 2.3861,                 2.0837,                0.00802,                0.00802,                0.00802
                      7,                 1.6705,                 1.3346,                 1.5868,                0.69928,                0.42353,                0.48466,                0.19921,                 2.2472,                 1.9415,                 2.2919,               0.007624,               0.007624,               0.007624
                      8,                 1.7178,                 1.3561,                 1.6144,                0.60433,                0.32941,                0.38021,                0.16588,                 2.3306,                  2.324,                 2.3535,               0.007228,               0.007228,               0.007228
                      9,                 1.6676,                  1.296,                 1.5906,                0.54545,                0.27059,                  0.337,                0.15713,                 2.0689,                 2.3439,                 2.1624,               0.006832,               0.006832,               0.006832
                     10,                 1.6578,                 1.2687,                 1.5935,                0.51442,                0.44118,                0.47108,                0.21951,                 2.0159,                 1.9212,                 2.0449,               0.006436,               0.006436,               0.006436
                     11,                 1.6119,                 1.2436,                 1.5539,                0.71722,                0.40284,                0.49191,                0.22942,                 2.0788,                 2.1828,                 2.0305,                0.00604,                0.00604,                0.00604
                     12,                 1.6335,                 1.2265,                 1.5349,                0.50208,                0.43301,                0.45282,                  0.194,                 2.1728,                 2.1392,                 2.1507,               0.005644,               0.005644,               0.005644
                     13,                 1.5908,                 1.1502,                 1.5325,                 0.4101,                0.33943,                0.36265,                 0.1616,                  2.162,                 2.2758,                 2.2454,               0.005248,               0.005248,               0.005248
                     14,                 1.5626,                 1.1662,                 1.5371,                 0.5421,                0.44706,                0.47009,                0.22173,                 2.2124,                 2.1427,                 2.2845,               0.004852,               0.004852,               0.004852
                     15,                 1.5382,                0.94417,                 1.5456,                0.48947,                0.44554,                0.45952,                0.20824,                 2.1564,                 1.9956,                 2.2385,               0.004456,               0.004456,               0.004456
                     16,                 1.4902,                0.82905,                 1.5214,                0.48156,                0.41176,                 0.4141,                0.18957,                 2.3049,                 2.0636,                 2.3577,                0.00406,                0.00406,                0.00406
                     17,                 1.4372,                0.90017,                 1.4551,                 0.4621,                0.48824,                0.47221,                0.22676,                 2.1221,                 1.9871,                 2.2194,               0.003664,               0.003664,               0.003664
                     18,                 1.4504,                0.79427,                 1.4914,                 0.5486,                0.45294,                0.49243,                0.22884,                 2.1669,                 2.0424,                 2.2418,               0.003268,               0.003268,               0.003268
                     19,                 1.4723,                0.79762,                 1.4826,                0.67343,                0.44706,                 0.4994,                0.24061,                 2.0665,                 2.4202,                 2.1509,               0.002872,               0.002872,               0.002872
                     20,                 1.4185,                0.74017,                 1.4519,                0.71634,                0.42941,                0.52632,                0.24544,                 2.0589,                 2.5615,                  2.153,               0.002476,               0.002476,               0.002476
                     21,                 1.3936,                0.69927,                 1.4559,                0.75548,                0.45437,                0.56064,                0.26897,                 2.0518,                 2.1212,                 2.1032,                0.00208,                0.00208,                0.00208
                     22,                 1.3716,                0.68459,                 1.4225,                0.57897,                0.51765,                0.58552,                0.27457,                 2.0734,                 1.9739,                 2.1673,               0.001684,               0.001684,               0.001684
                     23,                 1.3364,                0.66132,                 1.3955,                0.72259,                0.41176,                0.52352,                0.24266,                 2.0624,                 2.0018,                 2.1967,               0.001288,               0.001288,               0.001288
                     24,                 1.2717,                0.63465,                 1.3719,                0.66041,                0.46903,                0.52177,                0.25826,                 2.0052,                 2.2224,                 2.1534,               0.000892,               0.000892,               0.000892
